Peak_ID;Gene_Name
chr17-7122347-7123081;ACADVL
chr17-7079918-7080807;DLG4
chr17-7079918-7080807;ASGR1
chr17-6948377-6949254;SLC16A11
chr17-4607461-4608375;PELP1
chr17-4710032-4710902;PLD2
chr17-4735855-4736755;PLD2
chr17-4735855-4736755;MINK1
chr17-4843057-4843994;RNF167
chr17-4843057-4843994;SLC25A11
chr17-4870635-4871528;CAMTA2
chr17-4870635-4871528;SPAG7
chr17-4881702-4882561;CAMTA2
chr17-4900600-4901440;INCA1
chr17-4920096-4920990;KIF1C
chr17-4981887-4982844;ZFP3
chr17-5210711-5211430;RABEP1
chr17-6472880-6473753;KIAA0753
chr17-6555178-6555981;TXNDC17
chr17-6555178-6555981;MED31
chr17-6555178-6555981;C17orf100
chr17-6701526-6702419;TEKT1
chr17-4334781-4335627;SPNS3
chr17-4167482-4168395;UBE2G1
chr17-4167482-4168395;ANKFY1
chr17-4045381-4046217;CYB5D2
chr17-4045381-4046217;ZZEF1
chr17-3917100-3917569;ZZEF1
chr17-3886533-3887412;ATP2A3
chr17-3816458-3817302;ATP2A3
chr17-3816458-3817302;P2RX1
chr17-3796206-3797077;P2RX1
chr17-3796206-3797077;CAMKK1
chr17-3794778-3795646;CAMKK1
chr17-3790018-3790947;CAMKK1
chr17-3766645-3767438;CAMKK1
chr17-3710702-3711609;NCBP3
chr17-3570829-3571742;P2RX5
chr17-3570829-3571742;EMC6
chr17-3570829-3571742;TAX1BP3
chr17-2305125-2305605;MNT
chr17-2239765-2240587;SGSM2
chr17-2239765-2240587;TSR1
chr17-2185254-2186128;SMG6
chr17-2169749-2170570;SMG6
chr17-1908190-1908970;DPH1
chr17-1908190-1908970;RTN4RL1
chr17-1732620-1733420;RPA1
chr17-1732620-1733420;SMYD4
chr17-1532928-1533819;SLC43A2
chr17-1390346-1391029;MYO1C
chr17-58193192-58194089;YWHAE
chr17-58193192-58194089;DOC2B
chr17-998875-999775;ABR
chr17-1179570-1180490;TRARG1
chr17-28384214-28385060;EFCAB5
chr17-27944718-27945618;CORO6
chr17-27466285-27467175;MYO18A
chr17-27181277-27182189;ERAL1
chr17-30227864-30228564;UTP6
chr17-29126219-29127118;CRLF3
chr17-29145101-29146000;CRLF3
chr17-29159080-29159930;ATAD5
chr17-30646591-30647212;RHBDL3
chr17-30669234-30670214;C17orf75
chr17-30770364-30771275;PSMD11
chr17-30954029-30954859;MYO1D
chr17-31469737-31470640;ASIC2
chr17-31584513-31585408;ASIC2
chr17-31701714-31702783;ASIC2
chr17-32106318-32106912;ASIC2
chr2-113379526-113380396;CCT6B
chr17-34423733-34424627;CCL4L2
chr17-34423733-34424627;CCL4
chr17-58156751-58157614;HEATR6
chr17-36104536-36105314;HNF1B
chr17-35969293-35970155;DDX52
chr17-35969293-35970155;SYNRG
chr17-35766621-35767513;ACACA
chr17-35766621-35767513;TADA2A
chr17-35530877-35531693;ACACA
chr17-58679097-58679950;PPM1D
chr17-59329381-59330286;BCAS3
chr17-59914117-59914928;BRIP1
chr17-60142644-60143544;MED13
chr17-20677273-20678176;RNFT1
chr17-57957571-57958307;TUBD1
chr17-57906851-57907675;VMP1
chr17-57832015-57832723;VMP1
chr17-57408116-57409019;YPEL2
chr17-57084732-57085589;TRIM37
chr17-57082266-57083126;TRIM37
chr17-56594414-56595264;MTMR4
chr17-56296824-56297754;MKS1
chr17-55570402-55570869;MSI2
chr17-55446046-55446750;MSI2
chr17-55436948-55437883;MSI2
chr17-55175710-55176577;AKAP1
chr17-50238627-50239485;CA10
chr17-50183404-50184296;CA10
chr17-49945779-49946702;CA10
chr17-49842104-49842982;CA10
chr17-49230399-49231304;NME1
chr17-48944385-48945282;TOB1
chr17-48795969-48796825;LUC7L3
chr17-48555183-48556124;RSAD1
chr17-48483253-48484171;LRRC59
chr17-48374473-48375119;CDC34
chr17-48074055-48074959;DLX3
chr17-47647341-47648154;NXPH3
chr17-47269475-47270399;GNGT2
chr17-46208235-46209062;SKAP1
chr17-46101788-46102653;COPZ2
chr17-36641424-36642327;ARHGAP23
chr17-37026042-37026943;LASP1
chr17-37089778-37090678;FBXO47
chr17-37123875-37124759;FBXO47
chr17-37318673-37319575;PLXDC1
chr17-37318673-37319575;ARL5C
chr17-37607646-37608385;MED1
chr17-37828409-37829209;PGAP3
chr17-37832521-37833029;PGAP3
chr17-37844152-37844840;PGAP3
chr17-38256936-38257838;NR1D1
chr17-38296542-38297454;MSL1
chr17-38296542-38297454;CASC3
chr17-38443818-38444664;CDC6
chr17-38474320-38475164;RARA
chr17-38815572-38816406;SMARCE1
chr17-38815572-38816406;KRT222
chr17-39174647-39175550;KRTAP1-1
chr17-39174647-39175550;KRTAP1-5
chr17-39174647-39175550;KRTAP1-4
chr17-39174647-39175550;KRTAP1-3
chr17-39738310-39739135;KRT9
chr17-39738310-39739135;KRT14
chr17-40075204-40076077;ACLY
chr17-40086176-40087074;ODAD4
chr17-40095800-40096716;ODAD4
chr17-40117825-40118711;CNP
chr17-40177036-40177930;NKIRAS2
chr17-40274920-40275848;HSPB9
chr17-40287283-40288178;HSPB9
chr17-40287283-40288178;RAB5C
chr17-40306526-40307330;RAB5C
chr17-40307640-40308400;RAB5C
chr17-40417562-40418452;STAT5B
chr17-40419449-40420308;STAT5B
chr17-40440686-40441577;STAT5A
chr17-40531007-40531837;STAT3
chr17-40540808-40541720;STAT3
chr17-40605122-40606014;ATP6V0A1
chr17-40915221-40916088;RAMP2
chr17-41116040-41116938;AARSD1
chr17-41131737-41132563;RUNDC1
chr17-41131737-41132563;PTGES3L
chr17-41322100-41322976;NBR1
chr17-41322100-41322976;BRCA1
chr17-42072293-42073162;NAGS
chr17-42188415-42189322;HDAC5
chr17-42288090-42288888;UBTF
chr17-42312111-42313007;SLC4A1
chr17-42402871-42403735;SLC25A39
chr17-42422925-42423300;GRN
chr17-42428152-42429061;GRN
chr17-42458360-42459268;ITGA2B
chr17-43024461-43025292;KIF18B
chr17-43129008-43129870;DCAKD
chr17-43172185-43172854;NMT1
chr17-43211428-43212311;ACBD4
chr17-43393704-43394606;MAP3K14
chr17-44079798-44080605;MAPT
chr17-44248689-44249586;KANSL1
chr17-45293146-45294045;MYL4
chr17-45295702-45296602;MYL4
chr17-45307276-45308192;MYL4
chr17-45316826-45317724;MYL4
chr17-45370724-45371366;ITGB3
chr17-61904082-61904946;FTSJ3
chr17-61904082-61904946;PSMC5
chr17-62552888-62553792;SMURF2
chr17-65370593-65371480;PITPNC1
chr17-64505030-64505712;PRKCA
chr17-64448661-64449528;PRKCA
chr17-64413331-64414238;PRKCA
chr17-64411768-64412661;PRKCA
chr17-64390649-64390978;PRKCA
chr17-63195228-63196017;RGS9
chr17-62965685-62966607;AMZ2
chr17-66254926-66255677;AMZ2
chr17-72985861-72986755;HID1
chr17-72985861-72986755;CDR2L
chr17-73291216-73292110;SLC25A19
chr17-73401652-73402565;GRB2
chr17-73850853-73851742;WBP2
chr17-73901628-73902536;MRPL38
chr17-74241246-74242160;RNF157
chr17-74463123-74463996;AANAT
chr17-74497257-74498034;RHBDF2
chr17-74501495-74502374;RHBDF2
chr17-74520704-74521072;CYGB
chr17-74677560-74678425;ST6GALNAC1
chr17-74733154-74734010;METTL23
chr17-74733154-74734010;SRSF8
chr17-74733154-74734010;SRSF2
chr17-74733154-74734010;MFSD11
chr17-74811974-74812862;MFSD11
chr17-75963410-75964294;TNRC6C
chr17-75991661-75992544;TNRC6C
chr17-76246169-76247077;TMEM235
chr17-76527533-76528430;DNAH17
chr17-77086214-77087076;RBFOX3
chr17-77783883-77784740;CBX8
chr17-77965678-77966568;TBC1D16
chr17-78074484-78075317;GAA
chr17-78313837-78314718;RNF213
chr17-78388333-78389265;ENDOV
chr17-79023930-79024821;BAIAP2
chr17-79391492-79392371;BAHCC1
chr17-79791026-79791814;MCRIP1
chr17-79791026-79791814;PPP1R27
chr17-80605199-80606150;WDR45B
chr17-80739114-80739952;TBCD
chr17-81008990-81009866;B3GNTL1
chr17-81153104-81153987;METRNL
chr6-150673952-150674974;IYD
chr6-151004280-151005169;PLEKHG1
chr6-151690920-151691768;AKAP12
chr6-151690920-151691768;ZBTB2
chr6-150184822-150185607;LRP11
chr6-150070798-150071660;PCMT1
chr6-149752811-149753688;ZC3H12D
chr6-148830704-148831514;SASH1
chr6-144608019-144608889;UTRN
chr6-144582943-144583836;UTRN
chr6-144411433-144412194;SF3B5
chr6-144333946-144334856;PLAGL1
chr6-143895883-143896776;PHACTR2
chr6-143276170-143277048;HIVEP2
chr6-142796286-142797082;ADGRG6
chr6-139696792-139697728;CITED2
chr6-139611766-139612638;TXLNB
chr6-139539990-139540883;TXLNB
chr6-139452240-139453140;HECA
chr6-138145152-138146026;TNFAIP3
chr6-137892300-137893086;OLIG3
chr6-137736182-137737057;OLIG3
chr6-137423482-137424215;IL22RA2
chr6-137424337-137425048;IL22RA2
chr6-137175694-137176154;PEX7
chr6-137105018-137105735;MAP3K5
chr6-136788471-136788857;MAP3K5
chr6-136788471-136788857;MAP7
chr6-136787921-136788381;MAP7
chr6-136609986-136610899;MAP7
chr6-136609986-136610899;BCLAF1
chr6-136403271-136404051;PDE7B
chr14-55819370-55820288;PDE7B
chr6-135819407-135820271;AHI1
chr6-135435064-135435843;MYB
chr6-135423399-135424282;HBS1L
chr6-134272124-134273042;TBPL1
chr6-133889513-133890332;EYA4
chr6-131443351-131444183;AKAP7
chr6-131348154-131348997;EPB41L2
chr6-130482462-130483399;SAMD3
chr6-129691487-129692391;LAMA2
chr6-112149665-112150567;FYN
chr6-111850106-111851001;TRAF3IP2
chr6-111804354-111805150;REV3L
chr6-111803171-111803982;REV3L
chr6-111303147-111304092;RPF2
chr6-111250803-111251668;AMD1
chr6-109881935-109882763;AK9
chr6-109214483-109215333;ARMC2
chr6-109062758-109063693;FOXO3
chr6-109062758-109063693;FOXO3B
chr6-108955287-108956009;FOXO3
chr6-108955287-108956009;FOXO3B
chr6-108888461-108889354;FOXO3
chr6-108888461-108889354;FOXO3B
chr6-105872005-105872914;PREP
chr6-105810226-105811147;PREP
chr6-117771175-117772076;DCBLD1
chr6-119255229-119256107;MCM9
chr6-119255229-119256107;ASF1A
chr6-119449116-119450028;FAM184A
chr2-109150243-109151024;GCC2
chr2-109150243-109151024;LIMS3
chr2-109150243-109151024;LIMS4
chr2-109210625-109211460;LIMS3
chr2-109210625-109211460;LIMS4
chr2-109213629-109214532;LIMS3
chr2-109213629-109214532;LIMS4
chr2-109254205-109255014;LIMS3
chr2-109254205-109255014;LIMS4
chr2-109335286-109336198;LIMS3
chr2-109335286-109336198;LIMS4
chr2-109335286-109336198;RANBP2
chr10-74836038-74836837;P4HA1
chr10-74096588-74097448;DNAJB12
chr10-74032896-74033713;DNAJB12
chr10-74032896-74033713;DDIT4
chr10-73885790-73886700;ASCC1
chr10-73759206-73760024;CHST3
chr10-73625548-73626432;PSAP
chr10-72309416-72310331;PALD1
chr10-72297038-72297756;PALD1
chr10-72223533-72224357;PALD1
chr10-72164426-72165297;EIF4EBP2
chr10-70715759-70716661;DDX21
chr10-70480044-70480893;CCAR1
chr10-70480044-70480893;SNORD98
chr10-70091810-70092705;HNRNPH3
chr10-69956929-69957694;ATOH7
chr10-69958023-69958937;ATOH7
chr10-69956929-69957694;MYPN
chr10-69958023-69958937;MYPN
chr10-69644246-69645167;SIRT1
chr10-63700618-63701424;ARID5B
chr10-63698144-63699055;ARID5B
chr10-63421361-63422273;CABCOCO1
chr10-63157878-63158778;TMEM26
chr10-62691342-62692143;RHOBTB1
chr10-62613210-62614017;RHOBTB1
chr10-62528233-62529122;CDK1
chr22-23541520-23542413;RAB36
chr22-23541520-23542413;BCR
chr22-23595660-23596589;BCR
chr22-24952135-24952987;GUCD1
chr22-24952135-24952987;SNRPD3
chr22-24242440-24243362;MIF
chr22-24128880-24129741;SMARCB1
chr22-24106791-24107668;CHCHD10
chr22-24106791-24107668;C22orf15
chr22-24096035-24096846;VPREB3
chr21-46369486-46370287;SLX9
chr21-45769075-45769919;TRPM2
chr21-45363829-45364706;AGPAT3
chr21-45209658-45210559;RRP1
chr21-45138357-45139253;CSTB
chr21-45138357-45139253;PDXK
chr19-495356-496284;MADCAM1
chr19-506682-507586;MADCAM1
chr19-506682-507586;TPGS1
chr19-531143-532004;CDC34
chr19-572010-572911;BSG
chr19-633167-634061;POLRMT
chr19-662875-663788;RNF126
chr19-662875-663788;FGF22
chr19-664674-665539;RNF126
chr19-680247-681227;FSTL3
chr19-694906-695832;PRSS57
chr19-709980-710826;PRSS57
chr19-709980-710826;PALM
chr19-708481-709345;PALM
chr19-733793-734695;PALM
chr19-796833-797633;PTBP1
chr19-843121-844018;PRTN3
chr19-848524-849288;PRTN3
chr19-892783-893701;MED16
chr19-912729-913603;R3HDM4
chr19-912729-913603;KISS1R
chr19-921410-922291;ARID3A
chr19-925208-926114;ARID3A
chr19-947441-948346;ARID3A
chr19-983937-984803;ARID3A
chr19-983937-984803;WDR18
chr19-1039571-1040438;ABCA7
chr19-1039571-1040438;CNN2
chr19-1067839-1068662;ABCA7
chr19-1067839-1068662;ARHGAP45
chr19-1066736-1067622;ARHGAP45
chr19-1068999-1069859;ARHGAP45
chr19-1076723-1077625;ARHGAP45
chr19-1095022-1095900;POLR2E
chr19-1103520-1104357;GPX4
chr19-1131855-1132731;GPX4
chr19-1131855-1132731;SBNO2
chr19-1173836-1174707;SBNO2
chr19-1205212-1206124;STK11
chr19-1239901-1240767;ATP5F1D
chr19-1241357-1242184;ATP5F1D
chr19-1249264-1250027;MIDN
chr19-1260544-1261461;MIDN
chr19-1266356-1267175;CIRBP
chr19-1268928-1269756;CIRBP
chr19-1275279-1276172;CIRBP
chr19-1275279-1276172;FAM174C
chr19-1315465-1316328;EFNA2
chr19-1354472-1355383;PWWP3A
chr19-1383208-1384136;NDUFS7
chr19-1401128-1401959;GAMT
chr19-1406953-1407878;DAZAP1
chr19-1437978-1438843;DAZAP1
chr19-1437978-1438843;RPS15
chr19-1478816-1479735;APC2
chr19-1478816-1479735;C19orf25
chr19-1507552-1508422;ADAMTSL5
chr19-1512684-1513541;ADAMTSL5
chr19-1567947-1568850;MEX3D
chr19-1592232-1593114;MBD3
chr19-1605258-1606080;UQCR11
chr19-1652470-1653350;TCF3
chr19-1665320-1666258;TCF3
chr19-1667404-1668033;TCF3
chr19-1767169-1768072;ONECUT3
chr19-1812115-1813004;ATP8B3
chr19-1825876-1826747;ATP8B3
chr19-1825876-1826747;REXO1
chr19-1848210-1849094;REXO1
chr19-1851632-1852534;KLF16
chr19-1863490-1864418;KLF16
chr19-1885074-1885968;ABHD17A
chr19-1904939-1905804;ADAT3
chr19-1940428-1941339;CSNK1G2
chr19-2015215-2015992;BTBD2
chr19-2032068-2032939;MKNK2
chr19-2050851-2051766;MKNK2
chr19-2085025-2085922;MOB3A
chr19-2096237-2097103;MOB3A
chr19-2096237-2097103;IZUMO4
chr19-2151268-2152178;IZUMO4
chr19-2151268-2152178;AP3D1
chr19-2155671-2156576;AP3D1
chr19-2163440-2164326;DOT1L
chr19-2236101-2237012;PLEKHJ1
chr19-2236101-2237012;SF3A2
chr19-2268961-2269862;OAZ1
chr19-2328223-2329042;SPPL2B
chr19-2328223-2329042;LSM7
chr19-2390998-2391901;SPPL2B
chr19-2390998-2391901;TMPRSS9
chr19-2427294-2428203;TIMM13
chr19-2427294-2428203;LMNB2
chr19-2456550-2457428;LMNB2
chr19-2461672-2462596;LMNB2
chr19-2474288-2475129;GADD45B
chr19-2475639-2476509;GADD45B
chr19-2494606-2495370;GADD45B
chr19-2610843-2611710;GNG7
chr19-2739652-2740540;SLC39A3
chr19-2782937-2783825;SGTA
chr19-2784957-2785858;THOP1
chr19-4123704-4124591;MAP2K2
chr19-4077637-4078514;MAP2K2
chr19-4065438-4066288;ZBTB7A
chr19-4007111-4008019;PIAS4
chr19-3984961-3985821;EEF2
chr19-3868552-3869401;ZFR2
chr19-3821611-3822515;ZFR2
chr19-3762419-3763337;MRPL54
chr19-3762419-3763337;MATK
chr19-3761198-3761905;APBA3
chr19-3721157-3722063;APBA3
chr19-3721157-3722063;TJP3
chr19-3700077-3700975;TJP3
chr19-3700077-3700975;PIP5K1C
chr19-3665582-3666478;PIP5K1C
chr19-3626571-3627453;PIP5K1C
chr19-3626571-3627453;CACTIN
chr19-3585896-3586362;TBXA2R
chr19-3585896-3586362;GIPC3
chr19-3572299-3573221;HMG20B
chr19-3557260-3558130;MFSD12
chr19-3505682-3506599;FZR1
chr19-3500352-3501263;DOHH
chr19-3478791-3479619;DOHH
chr19-3478791-3479619;SMIM24
chr19-3428083-3428774;NFIC
chr19-3429240-3430150;NFIC
chr19-3224190-3225076;CELF5
chr19-3185322-3186227;NCLN
chr19-3178318-3179150;NCLN
chr19-3178318-3179150;S1PR4
chr19-3141703-3142576;GNA15
chr19-3093894-3094753;GNA11
chr19-3061015-3061853;GNA11
chr19-3061015-3061853;TLE5
chr19-3062180-3062994;TLE5
chr19-2976938-2977851;TLE6
chr19-2950331-2951254;ZNF77
chr19-4182163-4183052;SIRT6
chr19-4197834-4198714;ANKRD24
chr19-4217264-4218149;ANKRD24
chr12-104679967-104680865;TXNRD1
chr12-104682609-104683493;TXNRD1
chr12-104751391-104752269;TXNRD1
chr12-107277573-107278485;RIC8B
chr12-96428811-96429663;LTA4H
chr12-96409471-96410310;LTA4H
chr12-96334990-96335872;AMDHD1
chr12-96334990-96335872;CCDC38
chr12-95942661-95943499;USP44
chr12-95790315-95791012;VEZT
chr12-94071058-94071809;CRADD
chr12-93130348-93131099;EEA1
chr12-92538996-92539837;BTG1
chr12-90102754-90103647;ATP2B1
chr12-89923920-89924828;POC1B
chr12-89919261-89920081;POC1B
chr12-89918039-89918940;POC1B
chr12-89918039-89918940;GALNT4
chr12-89854801-89855519;POC1B
chr12-89856147-89857012;POC1B
chr12-89804580-89805415;POC1B
chr12-89777606-89778454;POC1B
chr12-85469368-85469855;LRRIQ1
chr12-69615737-69616649;CPSF6
chr12-69290705-69291589;CPM
chr12-68889467-68890379;RAP1B
chr12-68117983-68118779;DYRK2
chr12-68042084-68042954;DYRK2
chr12-65693891-65694735;MSRB3
chr12-62748661-62749527;MON2
chr12-62748661-62749527;USP15
chr12-57941014-57941910;DCTN2
chr12-57875655-57876479;ARHGAP9
chr12-57852182-57853125;GLI1
chr12-57632739-57633582;NDUFA4L2
chr12-57455834-57456722;NEMP1
chr12-57118625-57119528;PRIM1
chr12-57118625-57119528;NACA
chr12-56720609-56721519;PAN2
chr12-56708985-56709735;PAN2
chr12-56708985-56709735;CNPY2
chr12-56658841-56659686;CS
chr12-56658841-56659686;COQ10A
chr12-56546569-56547308;MYL6B
chr12-56521257-56522107;ESYT1
chr12-56359851-56360759;CDK2
chr12-56333600-56334484;PMEL
chr12-56333600-56334484;DGKA
chr12-56320762-56321657;PYM1
chr12-56138599-56139459;SARNP
chr12-56138599-56139459;GDF11
chr12-56117782-56118664;RDH5
chr10-5852141-5853057;GDI2
chr10-5566306-5567176;CALML3
chr10-3893875-3894610;KLF6
chr10-38043272-38044182;PITRM1
chr10-3109219-3110083;PFKP
chr1-236120504-236121342;NID1
chr7-41736519-41737351;INHBA
chr7-39606109-39606868;YAE1
chr7-38413560-38414444;AMPH
chr7-38358144-38358651;TRGV10
chr7-38358144-38358651;TRGV11
chr7-38360563-38361456;TRGC1
chr7-38360563-38361456;TRGC2
chr7-38209082-38209841;STARD3NL
chr7-38107233-38108104;STARD3NL
chr7-37488093-37488932;ELMO1
chr7-37354678-37355360;ELMO1
chr7-37247698-37248576;ELMO1
chr7-37221550-37222241;ELMO1
chr7-36964538-36965417;ELMO1
chr6-27791910-27792774;H4C11
chr6-26659328-26660241;ZNF322
chr6-26596551-26597400;ABT1
chr6-26595460-26596143;ABT1
chr6-26327930-26328743;BTN2A2
chr6-26234514-26235318;H1-3
chr6-26216387-26217258;H2BC7
chr6-26216387-26217258;H2BC13
chr6-26198961-26199848;H2BC7
chr6-26198961-26199848;H2BC13
chr6-26183308-26184175;H2BC4
chr6-26157552-26158466;H2BC4
chr6-26157552-26158466;H1-4
chr6-26155911-26156809;H1-4
chr6-26103547-26104451;H1-6
chr6-26097028-26097935;HFE
chr6-26087296-26088180;HFE
chr6-26056066-26056924;H1-2
chr6-26054948-26055715;H1-2
chr6-26044947-26045786;H1-2
chr6-26019999-26020848;H3C4
chr6-26017311-26018198;H1-1
chr6-25942271-25943126;TRIM38
chr6-25489790-25490703;CARMIL1
chr6-25278770-25279684;CARMIL1
chr6-24940089-24940978;RIPOR2
chr6-24936582-24937305;RIPOR2
chr6-24907984-24908837;RIPOR2
chr6-24855681-24856569;RIPOR2
chr6-24774668-24775601;ARMH2
chr6-24774668-24775601;GMNN
chr6-24720783-24721681;C6orf62
chr6-24666488-24667379;C6orf62
chr6-24666488-24667379;TDP2
chr6-24666488-24667379;ACOT13
chr6-24583143-24584050;KIAA0319
chr6-24430733-24431642;GPLD1
chr6-24402616-24403445;MRS2
chr6-21593222-21594105;SOX4
chr6-21588936-21589722;SOX4
chr6-20688421-20689333;CDKAL1
chr6-20563901-20564781;CDKAL1
chr6-20534061-20534931;CDKAL1
chr6-20528115-20528808;CDKAL1
chr6-20528927-20529617;CDKAL1
chr6-20409409-20410286;E2F3
chr6-20403091-20404009;E2F3
chr6-20401225-20402126;E2F3
chr6-20377473-20378344;E2F3
chr6-20091787-20092695;MBOAT1
chr6-188551-189454;UQCRFS1
chr6-291904-292396;DUSP22
chr6-292488-292842;DUSP22
chr6-391258-392143;IRF4
chr6-509359-510267;IRF4
chr6-509359-510267;EXOC2
chr6-692540-693374;EXOC2
chr6-1396732-1397637;FOXF2
chr6-1436420-1437286;FOXF2
chr6-1609377-1610280;FOXC1
chr6-1763190-1764055;GMDS
chr6-2020611-2021440;GMDS
chr6-2103937-2104856;GMDS
chr6-2195919-2196697;GMDS
chr6-2245206-2246083;GMDS
chr6-2634128-2635015;MYLK4
chr6-2695263-2696138;MYLK4
chr6-2738100-2738941;MYLK4
chr6-2764812-2765736;WRNIP1
chr6-2846073-2846968;SERPINB1
chr6-3068422-3069225;RIPK1
chr6-3068422-3069225;SERPINB6
chr6-3118183-3119101;BPHL
chr6-3126142-3127043;BPHL
chr6-3157147-3158049;BPHL
chr6-3157147-3158049;TUBB2A
chr6-3251201-3252092;PSMG4
chr6-3258516-3259387;PSMG4
chr6-3279286-3280185;PSMG4
chr6-3279286-3280185;SLC22A23
chr6-3732307-3733193;PXDC1
chr6-3742197-3743023;PXDC1
chr6-4008108-4009000;PRPF4B
chr6-4018221-4019083;PRPF4B
chr6-4021001-4021873;PRPF4B
chr6-4155602-4156503;ECI2
chr6-4135373-4136264;ECI2
chr6-4155602-4156503;ECI2
chr6-4775780-4776563;CDYL
chr6-4802604-4803370;CDYL
chr6-5003425-5004320;RPP40
chr6-5143374-5144233;PPP1R3G
chr6-5143374-5144233;LYRM4
chr6-5260728-5261568;LYRM4
